,Date,Text,Positive,Negative,Neutral,Compound
80,Mon Mar 12 17:50:06 +0000 2018,"After Putin suggested that Jews might have been behind the hacking attack on the 2016 election, top Democrats implo… https://t.co/1Uq1AmhSaa",0.079,0.135,0.786,-0.3182
81,Mon Mar 12 17:40:12 +0000 2018,"Coercion, abuse, billions seized: As the Saudi crown prince prepares to visit the U.S., we found disturbing aspects… https://t.co/PFNkmeDkF4",0.0,0.306,0.694,-0.8176
82,Mon Mar 12 17:26:21 +0000 2018,"Breaking News: Prime Minister Theresa May of Britain said it was ""highly likely"" that Russia was behind the poisoni… https://t.co/wkRIJUY8MC",0.0,0.0,1.0,0.0
83,Mon Mar 12 17:21:00 +0000 2018,Servers and diners: Do you see a connection between tipping and bad behavior? We want to hear from you. https://t.co/yMph3DZJuY,0.06,0.161,0.78,-0.4939
84,Mon Mar 12 17:18:00 +0000 2018,Managers can protect workers by switching a server’s table or asking an offending customer to leave. But even for b… https://t.co/UuqB9K3PWu,0.108,0.187,0.705,-0.2263
85,Mon Mar 12 17:15:00 +0000 2018,“Most of my day is geared towards how is a man going to feel about me. How can I maximize tips without feeling over… https://t.co/sYagnb5MBJ,0.0,0.059,0.941,-0.0951
86,Mon Mar 12 17:12:00 +0000 2018,Brittany Gilbert said she used to “get so creeped out and weirded out” by customers’ behavior. But now?… https://t.co/EXlsS8KNA1,0.0,0.0,1.0,0.0
87,Mon Mar 12 17:09:00 +0000 2018,"Dana Angelo gave a start when a man reached up her skirt and grabbed her. But she stifled a scream, afraid to make… https://t.co/eunFWoj87c",0.057,0.208,0.735,-0.5719
88,Mon Mar 12 17:06:00 +0000 2018,Working for tips means that each shift comes with questions that don’t apply to millions of other workers around th… https://t.co/bgr1lk2s5B,0.0,0.0,1.0,0.0
89,Mon Mar 12 17:03:04 +0000 2018,"We interviewed over 60 servers and bartenders who shared stories of crude comments, groping and even stalking by cu… https://t.co/n71gDVDGOD",0.1,0.154,0.747,-0.3182
90,Mon Mar 12 17:00:07 +0000 2018,Lewd comments. Sexual overtures. Groping. Restaurant servers put up with a lot in pursuit of the tips they need to… https://t.co/r9QQLxayb9,0.0,0.0,1.0,0.0
91,Mon Mar 12 16:50:11 +0000 2018,"“I have not intentionally visited schools that are underperforming,” Education Secretary Betsy DeVos said during an… https://t.co/u5zpeGoLya",0.0,0.0,1.0,0.0
92,Mon Mar 12 16:40:06 +0000 2018,President Trump confirmed his administration wouldn't immediately pursue a proposal to raise the age limit for buyi… https://t.co/OCkGpsG8g7,0.0,0.0,1.0,0.0
93,Mon Mar 12 16:30:17 +0000 2018,How to stop eating sugar https://t.co/5nYiLNUUsO https://t.co/9mf81TDlPC,0.0,0.268,0.732,-0.296
94,Mon Mar 12 16:20:08 +0000 2018,"RT @nytopinion: Sugar encourages overeating and causes health problems. And Americans are surrounded by it, @DLeonhardt writes https://t.co…",0.134,0.125,0.741,0.0516
95,Mon Mar 12 16:10:05 +0000 2018,"To speak freely about an alleged affair with Donald Trump, the porn star Stormy Daniels offered to return the $130,… https://t.co/SeVGNgMX8h",0.127,0.0,0.873,0.4404
96,Mon Mar 12 16:00:20 +0000 2018,"RT @NYTSports: On today's front page: The N.C.A.A. ""In Crowd,"" an illustration by @camorris. See who the experts like in this year's tourna…",0.102,0.0,0.898,0.3612
97,Mon Mar 12 15:50:09 +0000 2018,"Antidepressants are widely prescribed, yet questions remain about how effective they are https://t.co/TNaU8NaPb4",0.205,0.0,0.795,0.4767
98,Mon Mar 12 15:40:13 +0000 2018,"For more than 3 decades, her murder remained unsolved. The authorities now have a suspect. https://t.co/GIfW7ZTMM8",0.0,0.365,0.635,-0.7845
99,Mon Mar 12 15:30:08 +0000 2018,"Thank you, daylight saving time https://t.co/fz5uXKRQNR",0.333,0.0,0.667,0.3612
