,Date,Text,Positive,Negative,Neutral,Compound
81,Thu Mar 01 19:23:29 +0000 2018,"""The optics are terrible"" - Walter Shaub, former Office of Government Ethics chief, on report Jared Kushner's famil… https://t.co/DusppJOZoB",0.0,0.154,0.846,-0.4767
82,Thu Mar 01 17:01:33 +0000 2018,"""My reaction to the idea of arming teachers is that that is an utterly ridiculous response"" says Democratic Rep. De… https://t.co/d5K84Q5HJQ",0.0,0.123,0.877,-0.4201
83,Thu Mar 01 16:38:30 +0000 2018,"RT @CNNPolitics: Sen. Marco Rubio is set to announce a gun safety plan which he says will keep ""any guns of any kind out of the hands of da…",0.185,0.071,0.744,0.5859
84,Thu Mar 01 15:48:59 +0000 2018,"""Every American deserves to have due process"": Democratic Rep. Stephanie Murphy responds to Trump's suggestion that… https://t.co/zfuxU46Kbj",0.0,0.0,1.0,0.0
85,Thu Mar 01 15:40:20 +0000 2018,"Democratic Rep. Stephanie Murphy says she's ""encouraged"" by Trump's remarks on gun control but now we need to ""act… https://t.co/cd1hI51u6y",0.0,0.082,0.918,-0.1779
86,Thu Mar 01 14:49:31 +0000 2018,"RT @CNNPolitics: President Trump has been twice nominated for the Nobel Peace Prize — but both nominations appear to be fake, The New York…",0.154,0.145,0.701,-0.1901
87,Wed Feb 28 21:06:08 +0000 2018,"""The data tells us that the one thing that is different about the United States is our unbelievably loose gun laws""… https://t.co/0sr5wIeP5q",0.103,0.195,0.702,-0.3551
88,Wed Feb 28 20:59:20 +0000 2018,"President Trump says the NRA is ""well-meaning...some of you people are petrified of the NRA. You can't be petrified… https://t.co/5RY36zxma5",0.0,0.156,0.844,-0.5423
89,Wed Feb 28 20:51:22 +0000 2018,"""I understand, Mr. President, that you met with the NRA. What matters here is not the NRA. What matter here is prev… https://t.co/XTEGNWvCvD",0.095,0.0,0.905,0.0516
90,Wed Feb 28 20:38:42 +0000 2018,"""I'm a fan of the NRA. There's no bigger fan...these are great people, these are great patriots. They love our coun… https://t.co/QjpCl6kfD3",0.447,0.067,0.486,0.926
91,Wed Feb 28 20:32:40 +0000 2018,"""What I've watched and seen is the development of weapons that I never thought would leave the battlefield"" - Senat… https://t.co/lso5HrT71R",0.051,0.243,0.706,-0.6544
92,Wed Feb 28 20:22:39 +0000 2018,"""It's going to have to be you to bring the Republicans to the table on this"" - Senator Chris Murphy encourages Pres… https://t.co/xbg7ijvCNJ",0.121,0.0,0.879,0.4404
93,Wed Feb 28 20:19:38 +0000 2018,"""You can't just be sitting ducks, and that's exactly what we've allowed people in these buildings and schools to be… https://t.co/WWIqvNpqTt",0.0,0.0,1.0,0.0
94,Wed Feb 28 19:57:18 +0000 2018,"""We're not ashamed of our school. We're not afraid of our school. We're proud that we go here"" - Marjory Stoneman D… https://t.co/Qj8tXAZngN",0.22,0.0,0.78,0.6862
95,Wed Feb 28 19:04:36 +0000 2018,"""It'll forever be lockdown,"" Marjory Stoneman Douglas survivor Alfonso Calderon describes the heightened police pre… https://t.co/gzUTYId248",0.143,0.0,0.857,0.3612
96,Wed Feb 28 16:57:48 +0000 2018,"Florida school shooting survivor Demitri Hoth describes his first day back at school as ""emotional... We talked abo… https://t.co/PkFAE5RyFl",0.122,0.0,0.878,0.3612
97,Wed Feb 28 16:25:54 +0000 2018,"RT @CNN: President Trump is speaking at a ceremony honoring the life of the late evangelist Billy Graham.

Watch on CNN: https://t.co/UYpqI…",0.142,0.0,0.858,0.5106
98,Wed Feb 28 15:18:43 +0000 2018,"Democratic Rep. Eric Swalwell of the Intelligence Committee: Hope Hicks ""refused to answer a number of questions...… https://t.co/MaeA7Q5X58",0.324,0.098,0.578,0.6249
99,Wed Feb 28 15:01:21 +0000 2018,RT @CNNPolitics: BREAKING: Paul Manafort pleads not guilty to new charges https://t.co/AevCYwbZ3e https://t.co/Xk9hrHI7E6,0.151,0.136,0.713,0.0598
